id,pedido_id,produto_id,quantidade,preco_unit
1,1,18,4,370.31
2,2,76,2,22.43
3,3,70,4,200.5
4,3,58,3,254.85
5,4,44,1,176.25
6,5,84,4,67.91
7,6,69,4,470.64
8,6,30,2,373.12
9,6,19,1,28.07
10,6,61,4,330.38
11,6,84,1,128.91
12,7,7,1,94.4
13,7,13,3,412.16
14,8,9,2,419.32
15,8,77,1,65.95
16,8,26,2,40.92
17,8,95,4,175.3
18,9,88,3,69.19
19,9,28,2,167.58
20,9,43,1,300.61
21,9,19,1,69.17
22,10,71,2,351.18
23,10,75,2,224.94
24,10,81,1,75.35
25,10,3,4,391.05
26,11,23,1,13.11
27,11,76,1,356.3
28,11,99,3,213.95
29,11,27,4,349.26
30,12,53,3,266.31
31,12,79,2,469.66
32,13,79,2,361.43
33,14,1,3,180.45
34,15,68,2,104.03
35,15,98,1,313.27
36,15,81,2,237.47
37,15,25,2,145.45
38,15,88,1,400.34
39,16,86,4,96.4
40,16,47,1,36.47
41,16,33,3,112.7
42,16,98,3,312.24
43,17,7,1,61.17
44,17,4,2,87.44
45,17,10,4,262.3
46,17,76,2,363.49
47,18,96,3,215.34
48,18,15,3,122.73
49,18,31,3,121.61
50,18,49,4,436.24
51,18,75,2,46.03
52,19,19,1,446.34
53,19,59,2,464.66
54,19,18,2,199.79
55,19,81,4,362.71
56,20,17,3,109.08
57,20,8,1,349.18
58,20,60,3,76.89
59,21,44,4,93.89
60,21,78,2,444.34
61,21,82,2,396.88
62,21,71,2,293.28
63,22,67,1,211.73
64,22,28,4,432.48
65,23,36,4,420.12
66,23,95,1,367.71
67,23,56,2,131.44
68,23,76,2,446.99
69,23,1,2,457.74
70,24,61,1,29.63
71,24,51,1,218.59
72,24,90,4,406.76
73,24,31,1,231.7
74,25,53,1,349.65
75,26,31,2,185.62
76,26,86,1,17.81
77,27,74,2,354.62
78,27,60,1,488.45
79,27,52,2,438.36
80,28,91,3,317.14
81,28,10,1,431.59
82,29,38,3,270.15
83,29,90,4,378.92
84,29,11,2,395.97
85,29,8,3,370.52
86,30,15,3,445.11
87,30,80,4,189.14
88,30,23,1,189.13
89,30,100,1,284.77
90,30,43,2,77.82
91,31,95,1,328.03
92,31,98,2,379.06
93,32,35,3,182.83
94,32,9,4,145.8
95,33,65,3,231.68
96,33,69,1,240.38
97,33,48,3,231.47
98,34,59,2,447.03
99,35,23,1,201.43
100,36,36,1,63.59
101,36,64,1,351.57
102,36,67,2,438.75
103,37,88,3,214.1
104,38,54,2,242.21
105,38,3,4,371.48
106,38,3,3,102.64
107,38,67,2,419.12
108,38,44,3,211.73
109,39,90,4,300.75
110,39,73,4,234.42
111,39,40,2,450.16
112,40,48,3,121.12
113,40,7,3,387.18
114,41,22,3,149.35
115,41,37,2,358.79
116,42,89,2,421.27
117,42,15,2,89.01
118,43,57,3,291.52
119,44,72,3,100.4
120,44,45,1,336.12
121,44,70,2,192.73
122,45,4,3,69.53
123,45,99,4,466.22
124,46,20,4,464.63
125,46,70,1,485.37
126,47,38,3,327.15
127,47,97,4,449.03
128,47,94,2,401.79
129,47,15,4,175.96
130,47,18,4,451.09
131,48,52,1,160.96
132,48,12,2,228.53
133,48,83,3,36.97
134,48,29,2,295.88
135,48,11,3,105.9
136,49,12,4,341.76
137,49,41,4,105.28
138,49,47,1,455.14
139,49,55,4,82.49
140,49,2,3,199.2
141,50,58,3,182.16
142,50,57,1,115.69
143,50,37,4,403.81
144,51,54,4,367.02
145,51,77,2,419.4
146,52,61,2,111.81
147,53,76,3,42.4
148,53,53,4,53.34
149,53,72,3,213.11
150,53,97,4,358.02
151,53,49,2,107.64
152,54,39,4,30.69
153,54,95,3,252.11
154,54,1,4,120.01
155,55,82,3,157.08
156,55,86,4,70.85
157,56,89,4,97.89
158,56,98,2,23.94
159,56,9,3,251.59
160,57,73,3,294.72
161,57,81,4,435.49
162,57,16,4,487.39
163,57,74,3,261.14
164,57,21,1,424.19
165,58,60,1,81.61
166,58,7,2,185.12
167,58,82,3,186.97
168,58,38,3,33.87
169,58,99,1,261.79
170,59,22,1,303.39
171,59,88,3,437.5
172,60,89,3,345.87
173,60,75,3,56.96
174,60,2,3,413.42
175,61,63,3,192.78
176,61,21,4,176.75
177,62,29,2,85.73
178,63,10,1,214.5
179,63,3,1,411.23
180,64,47,3,162.67
181,64,77,2,410.35
182,64,39,3,94.38
183,64,16,1,374.79
184,65,19,2,429.84
