id,cliente_id,data_pedido,status,valor_total
1,319,2025-11-29,concluido,1365.05
2,304,2025-08-02,concluido,89.3
3,330,2025-10-10,concluido,1306.93
4,94,2026-03-16,concluido,599.7
5,109,2026-03-10,concluido,539.38
6,451,2026-03-16,concluido,1140.41
7,426,2025-11-11,concluido,1260.62
8,241,2026-03-05,concluido,832.16
9,488,2025-07-17,concluido,992.71
10,400,2025-10-09,devolvido,108.37
11,16,2025-06-12,cancelado,339.07
12,11,2026-01-23,concluido,395.89
13,243,2026-03-23,concluido,867.76
14,112,2025-10-17,concluido,421.55
15,189,2025-07-19,concluido,930.51
16,383,2025-09-03,concluido,1177.8
17,84,2025-06-27,devolvido,206.74
18,14,2026-01-18,cancelado,884.91
19,465,2025-11-11,devolvido,625.15
20,367,2025-05-21,concluido,908.54
21,426,2025-04-23,concluido,197.76
22,396,2025-10-23,concluido,1042.18
23,413,2026-02-06,concluido,1476.57
24,401,2025-09-13,concluido,822.48
25,339,2025-10-04,concluido,783.64
26,175,2026-04-01,concluido,659.09
27,251,2025-10-29,concluido,1443.14
28,326,2025-04-14,cancelado,716.62
29,79,2025-10-14,concluido,1114.0
30,495,2025-08-14,concluido,943.07
31,471,2025-09-01,concluido,751.07
32,224,2026-03-02,concluido,909.09
33,166,2025-12-24,cancelado,1254.56
34,45,2026-01-28,concluido,703.66
35,385,2025-06-08,concluido,934.98
36,195,2025-09-26,concluido,766.74
37,167,2025-05-18,concluido,357.57
38,409,2025-12-29,concluido,455.5
39,306,2025-10-20,concluido,450.59
40,6,2025-09-27,concluido,327.03
41,124,2025-08-02,concluido,758.44
42,389,2025-12-25,concluido,740.34
43,365,2025-04-05,concluido,1199.75
44,48,2025-04-06,concluido,636.38
45,125,2025-12-19,concluido,893.26
46,243,2025-06-22,concluido,548.45
47,382,2025-08-27,concluido,560.13
48,233,2025-11-13,concluido,414.54
49,62,2025-05-11,concluido,507.54
50,381,2025-08-06,concluido,1155.17
51,95,2025-08-20,concluido,1120.98
52,142,2025-11-25,concluido,1466.08
53,269,2026-03-02,concluido,1471.74
54,427,2025-07-11,concluido,379.85
55,92,2025-06-13,concluido,1076.63
56,65,2025-11-01,concluido,1462.73
57,284,2025-07-13,concluido,1418.93
58,327,2025-07-03,cancelado,761.77
59,447,2025-07-15,concluido,462.29
60,246,2025-10-02,concluido,317.33
61,27,2025-11-26,concluido,1299.5
62,59,2025-08-13,concluido,631.03
63,38,2025-08-22,concluido,1045.35
64,78,2025-06-12,concluido,866.12
65,156,2025-10-12,concluido,409.88
66,286,2025-09-13,concluido,929.16
67,405,2025-06-22,concluido,1174.76
68,195,2025-09-11,concluido,691.95
69,441,2025-12-30,concluido,671.8
